FileName,DeveloperId,DeveloperName,ProjectId,ChangeType
PdfVersionImp.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfViewerPreferencesImp.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfXConformanceImp.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PolylineShape.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PolylineShapeIterator.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
ContentOperator.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
GraphicsState.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Matrix.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfContentReaderTool.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfContentStreamProcessor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfTextExtractor.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
RenderListener.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimpleTextExtractingPdfContentRenderListener.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TextProvidingRenderListener.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TextRenderInfo.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
Vector.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SAXiTextHandler.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SAXmyHandler.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
TagMap.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
XmlDomWriter.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
XmlParser.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
XmlPeer.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
EntitiesToSymbol.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
EntitiesToUnicode.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
IanaEncodings.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimpleXMLDocHandler.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimpleXMLDocHandlerComment.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
SimpleXMLParser.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
DublinCoreSchema.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
LangAlt.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfA1Schema.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
PdfSchema.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
XmpArray.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
XmpBasicSchema.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
XmpMMSchema.java,Yuvi Masory,Yuvi Masory,OpenPDF,ADD
